service,date,aircraft,location,lat,lon,target,numweapons,timeon,weapon,weaponweight,missionfunction,numaircraft,unit,timeoff
USAF,10/9/1965,A-1,BIEN HOA,10.82553952,106.5038087,TROOPS,0,1645,,0,STRIKE,2,JAAGD0,1700
USAF,10/9/1965,A-1,BIEN HOA,10.82553952,106.5038087,TROOPS,28,1645,200/260 M81/88,263,STRIKE,2,JAAGD0,1700
USAF,10/9/1965,A-1,BIEN HOA,10.82553952,106.5038087,TROOPS,9,1645,M-39,50,STRIKE,2,JAAGD0,1700
USAF,10/9/1965,FC-47,BIEN HOA,10.87489918,106.8973961,TROOPS,0,210,,0,STRIKE,1,JAAGD0,235
USAF,10/9/1965,FC-47,BIEN HOA,10.87489918,106.8973961,TROOPS,40,210,30 CAL,50,STRIKE,1,JAAGD0,235
USAF,10/9/1965,FC-47,BIEN HOA,10.87489918,106.8973961,TROOPS,5,210,MK-24,25,STRIKE,1,JAAGD0,235
USAF,10/9/1965,RF-101,TAN SON NHUT,10.9108524,107.3211079,BRIDGE,0,0,,0,AEW,1,JAJQPA,1500
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.91773307,106.9854848,TROOPS,0,810,,0,AIR INTERDICTION,3,N09092,825
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.91773307,106.9854848,TROOPS,1,810,1000LB GP M-65,1104,AIR INTERDICTION,3,N09092,825
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.91773307,106.9854848,TROOPS,14,810,M-3,50,AIR INTERDICTION,3,N09092,825
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.91773307,106.9854848,TROOPS,30,810,250LB M-57,272,AIR INTERDICTION,3,N09092,825
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.91773307,106.9854848,TROOPS,4,810,500LB GP M-64,561,AIR INTERDICTION,3,N09092,825
USAF,10/9/1965,RF-101,TAN SON NHUT,10.94944782,106.9738029,BRIDGE,0,0,,0,AEW,1,JAJQPA,1100
USAF,10/9/1965,RF-101,TAN SON NHUT,10.97242813,106.7644277,ROAD,0,817,,0,PHOTO RECCE,1,JAJQPA,0
USAF,10/9/1965,RF-101,TAN SON NHUT,10.97242813,106.7644277,ROAD,0,810,,0,PHOTO RECCE,0,JAJQPA,813
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.97347704,108.274574,AREA\DEPOT,0,1530,,0,AIR INTERDICTION,3,N09293,1545
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.97347704,108.274574,AREA\DEPOT,6,1530,500LB GP MK-82,500,AIR INTERDICTION,3,N09293,1545
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.97347704,108.274574,AREA\DEPOT,12,1530,5.0IN HE RKT,132,AIR INTERDICTION,3,N09293,1545
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),10.97347704,108.274574,AREA\DEPOT,12,1530,MK-11/MK-12,57,AIR INTERDICTION,3,N09293,1545
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.97530849,108.2773006,AREA\DEPOT,0,1440,,0,AIR INTERDICTION,2,N09093,1500
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.97530849,108.2773006,AREA\DEPOT,1,1440,1000LB GP M-65,1104,AIR INTERDICTION,2,N09093,1500
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.97530849,108.2773006,AREA\DEPOT,7,1440,M-3,50,AIR INTERDICTION,2,N09093,1500
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.97530849,108.2773006,AREA\DEPOT,20,1440,200/260 M81/88,263,AIR INTERDICTION,2,N09093,1500
USN,10/9/1965,A-1,BON HOMME RICHARD (CVA-31),10.97530849,108.2773006,AREA\DEPOT,2,1440,500LB GP M-64,561,AIR INTERDICTION,2,N09093,1500
USAF,10/9/1965,RF-101,TAN SON NHUT,10.97572685,106.6601315,ROAD,0,820,,0,PHOTO RECCE,1,JAJQPA,0
USAF,10/9/1965,RF-101,TAN SON NHUT,10.98661085,106.6537865,ROAD,0,757,,0,PHOTO RECCE,1,JAJQPA,0
USAF,10/9/1965,RF-101,TAN SON NHUT,10.98830388,106.6748435,ROAD,0,820,,0,PHOTO RECCE,1,JAJQPA,0
USN,10/9/1965,A-4,MIDWAY (CVA-41),11.00526436,107.9026359,BUILDINGS,0,1355,,0,AIR INTERDICTION,4,N09707,1410
USN,10/9/1965,A-4,MIDWAY (CVA-41),11.00526436,107.9026359,BUILDINGS,4,1355,500LB GP MK-82,500,AIR INTERDICTION,4,N09707,1410
USN,10/9/1965,A-4,MIDWAY (CVA-41),11.00526436,107.9026359,BUILDINGS,6,1355,MK-11/MK-12,57,AIR INTERDICTION,4,N09707,1410
USN,10/9/1965,A-4,MIDWAY (CVA-41),11.00526436,107.9026359,BUILDINGS,1,1355,50 CAL,25,AIR INTERDICTION,4,N09707,1410
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),11.06252551,107.9599027,AREA\DEPOT,0,1437,,0,AIR INTERDICTION,4,N09069,1450
USN,10/9/1965,RF-8,BON HOMME RICHARD (CVA-31),11.06252551,107.9599027,AREA\DEPOT,0,0,,0,MOTION PICTURE RECCE,1,N28442,0
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),11.06252551,107.9599027,AREA\DEPOT,6,1437,500LB GP MK-82,500,AIR INTERDICTION,4,N09069,1450
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),11.06252551,107.9599027,AREA\DEPOT,20,1437,5.0IN HE RKT,132,AIR INTERDICTION,4,N09069,1450
USN,10/9/1965,F-8,BON HOMME RICHARD (CVA-31),11.06252551,107.9599027,AREA\DEPOT,8,1437,MK-11/MK-12,57,AIR INTERDICTION,4,N09069,1450
USAF,10/9/1965,F-100,TAN SON NHUT,11.08300355,106.5490513,TROOPS,0,1235,,0,STRIKE,3,JAJJP0,1245
USAF,10/9/1965,F-100,TAN SON NHUT,11.08300355,106.5490513,TROOPS,0,1235,,0,STRIKE,2,JAJJP0,1242
USAF,10/9/1965,F-100,TAN SON NHUT,11.08300355,106.5490513,TROOPS,4,1235,500LB GP MK-82,500,STRIKE,3,JAJJP0,1245
USAF,10/9/1965,F-100,TAN SON NHUT,11.08300355,106.5490513,TROOPS,4,1235,500LB GP MK-82,500,STRIKE,2,JAJJP0,1242
USAF,10/9/1965,F-100,TAN SON NHUT,11.08300355,106.5490513,TROOPS,4,1235,750LB BLU-1/27,694,STRIKE,3,JAJJP0,1245
USAF,10/9/1965,F-100,TAN SON NHUT,11.08300355,106.5490513,TROOPS,20,1235,M-39,50,STRIKE,3,JAJJP0,1245
USAF,10/9/1965,F-100,TAN SON NHUT,11.08300355,106.5490513,TROOPS,8,1235,M-39,50,STRIKE,2,JAJJP0,1242
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),11.10370393,106.5674706,AREA\DEPOT,0,1720,,0,DIRECT AIR SUPPORT,3,N09706,1730
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),11.10370393,106.5674706,AREA\DEPOT,3,1720,MK-11/MK-12,57,DIRECT AIR SUPPORT,3,N09706,1730
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),11.10370393,106.5674706,AREA\DEPOT,1,1720,MK-24,25,DIRECT AIR SUPPORT,3,N09706,1730
USN,10/9/1965,A-4,BON HOMME RICHARD (CVA-31),11.10370393,106.5674706,AREA\DEPOT,4,1720,500LB GP MK-82,500,DIRECT AIR SUPPORT,3,N09706,1730
